;CPU CORE;;L2 CACHE;;;
SIM NUMBER;TOTAL POWER;AREA;TOTAL POWER;AREA;TIMING;PAT
0;1.11563063;6.82083;0.00162224;2.0888;0.26559;0.537000193
1;1.5187187;9.44857;0.00162224;2.0888;0.262366;0.988009398
2;2.0060504;12.0101;0.0016255;2.0888;0.199061;0.954821141
3;2.0303598;13.6677;0.0016255;2.0888;0.262117;1.906829908
4;1.11574613;7;0.0016255;2.0888;0.264242;0.550229315
5;1.8;11.7772;0.0016255;2.0888;0.264229;1.480284089
6;2.0301765;13.2841;0.0016255;2.0888;0.264229;1.883135489
7;2.0827;14.3387;0.001043639;1.54364;0.262455;2.05716736
8;2.0826042;14;0.001625484;2.0888;0.263557;2.074507484
9;2.0825965;14.3387;0.003149495;4.17119;0.263646;2.076578265
10;2.0825965;14.3387;0.005223853;7.69091;0.263498;2.076124862
11;2.0825965;14.3387;0.00994905;12.8774;0.263252;2.078344661
12;2.0886512;14.4719;0.003149495;4.17119;0.262366;2.08159048
13;1.8324429;15.5906;0.003149495;4.17119;0.262366;1.967469681
14;2.0885399;14.4598;0.003149495;4.17119;0.263646;2.100082306
15;1.8323316;15.4768;0.003149495;4.17119;0.263646;1.972099194
16;2.0945946;14.593;0.003158095;4.16852;0.262366;2.104973706
17;2.0945946;14.593;0.003149495;4.17119;0.262366;2.104971818
18;2.0825965;14.3387;0.00162224;2.0888;0.263557;2.074499344
19;1.21631087;8.88425;0.002513317;3.73067;0.39213;1.663037992
20;1.58255336;16.906;0.0119107;18.4607;0.199061;1.06887323
21;2.9196763;35.8724;0.03029856;41.0389;0.165476;2.901955374
22;2.4291999;26.8272;0.0154049;17.9892;0.165506;1.792705524
