;CPU CORE;;L2 CACHE;;;
SIM NUMBER;TOTAL POWER;AREA;TOTAL POWER;AREA;TIMING;PAT
0;1.09883721;6.82083;0.001625484;2.0888;0.514065;1.981542314
1;1.5018088;9.44857;0.001625484;2.0888;0.513961;3.74925487
2;1.78372778;12.0101;0.001625484;2.0888;0.340399;2.482679036
3;2.0131908;13.6677;0.001625484;2.0888;0.520793;7.463872943
4;1.0988373;7;0.001625484;2.0888;0.514051;2.050800089
5;1.78372766;11.7772;0.001625484;2.0888;0.514051;5.552047859
6;2.01326666;13.2841;0.001625484;2.0888;0.514051;7.06807235
7;2.06556059;14.3387;0.001043639;1.54364;0.520795;8.03350284
8;2.06556059;14.3387;0.001625484;2.0888;0.513941;7.823913347
9;2.06556059;14.3387;0.003149495;4.17119;0.51397;7.827369779
10;2.06556059;14.3387;0.005223853;7.69091;0.513847;7.83076319
11;2.06556059;14.3387;0.00994905;12.8774;0.513482;7.842829361
12;2.07158078;14.4719;0.003149495;4.17119;0.513958;7.922695296
13;1.81537134;15.5906;0.003149495;4.17119;0.514059;7.482655929
14;2.07158066;14.4598;0.003149495;4.17119;0.513972;7.916504816
15;1.81537236;15.4768;0.003149495;4.17119;0.513972;7.425553455
16;2.07752424;14.593;0.003147089;4.17438;0.513952;8.011686584
17;2.07752424;14.593;0.003149495;4.17119;0.513961;8.011967177
18;2.07752424;14.593;0.003158095;4.16852;0.513941;8.01135089
19;1.20438064;8.88425;0.002513317;3.73067;0.882916;8.348408924
20;1.56117661;16.906;0.01191079;18.4607;0.340399;3.08370312
21;2.8949489;35.8724;0.03029856;41.0389;0.258895;7.043974023
22;2.6594108;31.9365;0.02092014;25.797;0.259032;5.73496074
